Date,CCMP Index,INDU Index,TRAN Index,UTIL Index,NYA Index,SPX Index,OEX Index,XAX Index,OMX Index
1/3/11,2691.52,11670.75,5174.93,406.58,8043.97,1271.87,572.23,2217.62,1176.85
1/10/11,2707.8,11637.45,5208.18,405.41,7966.09,1269.75,572.1,2158.5,1152.61
1/18/11,2765.85,11837.93,5221.65,411.78,8190.91,1295.02,582.34,2193.15,1179.29
1/24/11,2717.55,11980.52,5076.52,415.59,8157.42,1290.84,582.96,2157.62,1148.74
1/31/11,2700.08,11891.93,5025.11,409.35,8139.16,1286.12,579.23,2172.04,1147.22
2/7/11,2783.99,12161.63,5070.71,413.83,8336.64,1319.05,593.68,2273.48,1140.5
2/14/11,2817.18,12268.19,5217.9,409.76,8405.15,1332.32,598.26,2275.87,1134.05
2/22/11,2756.42,12212.79,5093.23,410.34,8325.86,1315.44,591.37,2325.26,1112.35
2/28/11,2782.27,12226.34,5084.9,415.61,8438.55,1327.22,595.96,2381.29,1128.66
3/7/11,2745.63,12090.03,5018.23,413.22,8337.02,1310.13,588.1,2402.07,1117.98
3/14/11,2700.97,11993.16,5053.5,412.04,8193.96,1296.39,581.93,2287.36,1091.56
3/21/11,2692.09,12036.53,5166.83,406.23,8256.36,1298.38,581.63,2311.76,1106.92
3/28/11,2730.68,12197.88,5229.08,406.07,8296.52,1310.19,587.05,2310.31,1132.27
4/4/11,2789.19,12400.03,5378.96,415.16,8482.41,1332.87,595.33,2412.28,1151.27
4/11/11,2771.51,12381.11,5223.27,408.51,8445.77,1324.46,592.9,2402.51,1148.69
4/18/11,2735.38,12201.59,5211.81,412.5,8277.11,1305.14,582.5,2374.86,1106.79
4/25/11,2825.88,12479.88,5300.81,418.49,8485.25,1335.25,595.19,2446.62,1141.13
5/2/11,2864.08,12807.36,5507.77,428.55,8649.61,1361.22,607.06,2454.96,1163.46
5/9/11,2843.25,12684.68,5470.16,431.17,8478.19,1346.29,599.19,2390.49,1157.13
5/16/11,2782.31,12548.37,5372.48,436.59,8336.59,1329.47,590.26,2328.48,1173.48
5/23/11,2758.9,12381.26,5381.64,434.53,8236.55,1317.37,584.82,2345.88,1137.69
5/31/11,2835.3,12569.79,5469.55,436.37,8477.28,1345.2,597.32,2437.16,1151.36
6/6/11,2702.56,12089.96,5150.17,424.98,8115.87,1286.17,572.8,2352.73,1133.67
6/13/11,2639.69,11952.97,5072.58,424.45,8017.06,1271.83,567.74,2299.97,1089.92
6/20/11,2629.66,12080.38,5201.22,429.17,8032.22,1278.36,569.59,2268.61,1067.3
6/27/11,2688.28,12043.56,5259.19,427.08,8031.08,1280.1,569.2,2270.87,1068.89
7/5/11,2825.77,12569.87,5498.72,436.37,8404.63,1337.88,594.86,2394.04,1127.26
7/11/11,2802.62,12505.76,5447.96,431.38,8228.73,1319.49,588.15,2377.48,1103.39
7/18/11,2765.11,12385.16,5283.92,427.76,8135.53,1305.44,584.06,2384.15,1056.12
7/25/11,2842.8,12592.8,5414.43,440.09,8357.57,1337.43,599.41,2444.65,1086.38
