Date,AXP,BAC,JPM,CSCO,HPQ,IBM,INTC,MSFT
6/3/13,74.53,12.86,52.41,24.17,24.8,191.11,24.23,34.54
5/1/13,75.48,13.65,54.19,23.95,24.28,208.02,24.28,34.9
4/1/13,68.2,12.3,48.66,20.77,20.48,201.6,23.73,32.87
3/1/13,67.06,12.17,46.82,20.59,23.7,212.3,21.64,28.41
2/1/13,61.78,11.22,48.26,20.55,19.9,199.89,20.69,27.61
1/2/13,58.46,11.3,46.42,20.26,16.31,201.28,20.62,27.04
12/3/12,56.94,11.59,43.08,19.36,14.08,189.86,20.21,26.31
11/1/12,55.37,9.83,40.25,18.63,12.71,188.39,19.18,26.22
10/1/12,55.44,9.3,40.84,16.77,13.55,191.97,20.98,27.88
9/4/12,56.13,8.81,39.37,18.54,16.69,204.72,21.98,29.07
8/1/12,57.55,7.96,36.13,18.52,16.39,192.29,24.09,30.11
7/2/12,56.96,7.31,35.02,15.48,17.71,192.58,24.72,28.6
6/1/12,57.26,8.15,34.47,16.59,19.53,192.19,25.63,29.69
5/1/12,54.92,7.32,31.98,15.78,21.9,189.55,24.85,28.33
4/2/12,59.23,8.07,41.46,19.48,23.9,202.64,27.12,30.87
3/1/12,56.72,9.52,44.07,20.36,23.01,204.17,26.85,31.1
2/1/12,51.85,7.93,37.61,19.13,24.31,192.51,25.66,30.6
1/3/12,49.15,7.08,35.75,18.91,26.88,187.74,25.03,28.28
12/1/11,46.07,5.52,31.64,17.34,24.75,179.24,22.97,24.86
11/1/11,46.92,5.4,29.47,17.88,26.73,183.25,23.6,24.5
10/3/11,49.44,6.77,33.07,17.78,25.45,179.25,23.04,25.32
9/1/11,43.67,6.07,28.41,14.81,21.47,169.77,20.04,23.66
8/1/11,48.35,8.1,35.43,14.97,24.76,166.9,18.9,25.29
7/1/11,48.67,9.62,38.15,15.26,33.46,175.78,20.76,25.88
