bid price call,ask price call,strike,bid price put,ask price put
431.2,434.4,1450,8.9,10.2
384.1,387.4,1500,11.6,13.1
337.9,341.2,1550,15.2,16.9
292.8,296.2,1600,19.9,21.8
228.3,231.1,1675,29.7,31.4
207.5,210.1,1700,33.6,35.5
167.6,170,1750,43.5,45.4
148.9,151.3,1775,49.4,51.5
130.6,132.8,1800,56.5,58.1
113.2,115.3,1825,63.6,65.7
96.8,98.6,1850,71.9,74.2
81.5,83.2,1875,81.4,83.5
67.1,69,1900,92.1,94.5
54.2,55.9,1925,103.8,106.3
32.8,34.5,1975,132.4,134.7
24.5,25.9,2000,149.2,151.9
12.4,13.6,2050,186.9,189.7
5.6,6.5,2100,230,232.4
